run,linearity
24,14.686521:15.0-18.751003:15.0-121.373024:223.0-129.30199:223.0-192.21872:191.0-242.05453:223.0-252.30853:223.0-262.63458:223.0-273.02478:223.0-283.47205:223.0-293.97012:223.0-304.5134:223.0-315.09692:223.0-325.71625:223.0-336.36746:223.0-347.04703:223.0-357.75183:223.0-368.47913:223.0-379.2264:223.0-389.9915:223.0-400.7724:223.0-411.5674:223.0-422.37497:223.0-433.1937:223.0-444.02237:223.0-454.8599:223.0-465.7053:223.0-476.55768:223.0-487.41632:223.0-498.28052:223.0-574.4416:191.0-585.333:191.0-596.2264:191.0-607.12146:191.0-618.01807:191.0-628.9161:191.0-639.8153:191.0-650.71564:191.0-661.6169:191.0-672.519:191.0-910.733:159.0-920.6323:159.0-930.64276:159.0-1066.7882:191.0-1077.5215:191.0-1088.274:191.0-1099.0438:191.0-1109.829:191.0-1120.6278:191.0-1131.4387:191.0-1142.2604:191.0-1153.0917:191.0-1163.9315:191.0-1174.779:191.0-1185.6333:191.0-1272.6371:143.0-1283.527:143.0-1294.419:143.0-1305.3129:143.0-1381.6078:191.0-1392.5109:191.0-1403.4147:191.0-1414.319:191.0-1425.2239:191.0-1457.941:207.0-1479.7543:223.0-1490.6613:223.0-1501.5685:223.0-1512.476:223.0-1523.3835:223.0-1534.2913:223.0-1545.1992:223.0-1556.1073:223.0-1567.0155:223.0-1804.265:239.0-1814.2758:239.0-1890.7925:191.0-1900.8853:191.0-1911.0679:191.0-1921.3303:191.0-1931.664:191.0-1942.0609:191.0-1952.5142:191.0-1963.0176:191.0-1973.5656:191.0-1984.1533:191.0-1994.7764:191.0-2005.4309:191.0-2016.1134:191.0-2026.8209:191.0-2037.5505:191.0-2048.2998:191.0-2059.0667:191.0-2069.849:191.0-2080.6455:191.0-2091.4543:191.0-2102.2742:191.0-2113.104:191.0-2123.9424:191.0-2134.7886:191.0-2145.6416:191.0-2156.501:191.0-2199.9873:207.0-2210.8687:207.0-2221.753:207.0-2232.64:207.0-2319.8044:159.0-2330.1057:159.0-2339.874:159.0-2384.0:191.0
25,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-176.69463:223.0-186.93822:223.0-197.255:223.0-207.63695:223.0-218.07687:223.0-249.6842:239.0-260.29892:239.0-270.946:239.0-281.62195:239.0-292.32352:239.0-303.0479:239.0-313.79263:239.0-324.55542:239.0-335.33432:239.0-411.11047:207.0-421.96832:207.0-432.8318:207.0-443.7003:207.0-454.57324:207.0-465.45016:207.0-476.33063:207.0-487.21423:207.0-498.10065:207.0-508.98956:207.0-519.8807:207.0-530.7738:207.0-541.66864:207.0-552.56506:207.0-563.4629:207.0-628.8715:239.0-639.77563:239.0-650.6803:239.0-661.58545:239.0-672.491:239.0-683.397:239.0-803.37866:239.0-814.287:239.0-890.6471:207.0-901.5559:207.0-912.4647:207.0-923.3736:207.0-934.2825:207.0-945.19135:207.0-956.1003:207.0-967.0092:207.0-977.91815:207.0-988.82715:207.0-999.73615:207.0-1010.64514:207.0-1087.0085:175.0-1097.9176:175.0-1239.7354:207.0-1250.6444:207.0-1261.5535:207.0-1272.4625:207.0-1283.3716:207.0-1327.0078:239.0-1337.9169:239.0-1414.2803:207.0-1425.1893:207.0-1436.0984:207.0-1447.0074:207.0-1457.9165:207.0-1468.8256:207.0-1479.7346:207.0-1490.6437:207.0-1501.5527:207.0-1512.4618:207.0-1523.3708:207.0-1588.8252:239.0-1599.7343:239.0-1610.6433:239.0-1621.5524:239.0-1632.4614:239.0-1643.3705:239.0-1654.2795:239.0-1665.1886:239.0-1676.0977:239.0-1687.0067:239.0-1697.9158:239.0-1708.8248:239.0-1719.7339:239.0-1730.643:239.0-1741.552:239.0-1752.461:239.0-1763.3701:239.0-1774.2792:239.0-1785.1882:239.0-1796.0973:239.0-1959.7332:207.0-1970.6422:207.0-2101.5515:191.0-2112.4607:191.0-2123.3699:191.0-2134.279:191.0-2145.1882:191.0-2156.0974:191.0-2167.0066:191.0-2177.9158:191.0-2188.825:191.0-2243.3708:223.0-2254.28:223.0-2265.1892:223.0-2276.0984:223.0-2287.0076:223.0-2297.9167:223.0-2308.826:223.0-2319.735:223.0-2384.0:191.0
26,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-176.69463:223.0-186.93822:223.0-197.255:223.0-207.63695:223.0-335.33432:191.0-346.12753:191.0-356.9335:191.0-367.7508:191.0-378.5782:191.0-389.41458:191.0-400.25897:191.0-411.11047:191.0-421.96832:191.0-432.8318:191.0-443.7003:191.0-525.6213:159.0-535.88293:159.0-546.21576:159.0-684.39655:191.0-695.1929:191.0-706.00165:191.0-716.8214:191.0-727.651:191.0-738.4894:191.0-749.3355:191.0-760.1886:191.0-771.04785:191.0-781.91254:191.0-836.2994:223.0-847.1864:223.0-858.07587:223.0-868.96747:223.0-967.0575:207.0-977.9611:207.0-988.86536:207.0-999.77014:207.0-1010.6754:207.0-1021.58105:207.0-1032.487:207.0-1043.3934:207.0-1141.5609:191.0-1152.4691:191.0-1163.3774:191.0-1174.2859:191.0-1185.1943:191.0-1196.1029:191.0-1207.0115:191.0-1217.9202:191.0-1228.8289:191.0-1272.4641:207.0-1283.373:207.0-1294.282:207.0-1305.1909:207.0-1316.0999:207.0-1327.0088:207.0-1337.9177:207.0-1392.4628:239.0-1403.3718:239.0-1414.2809:239.0-1512.4624:223.0-1523.3715:223.0-1534.2805:223.0-1545.1896:223.0-1556.0986:223.0-1567.0077:223.0-1577.9167:223.0-1588.8258:223.0-1599.7349:223.0-1610.6439:223.0-1621.553:223.0-1632.462:223.0-1708.8254:191.0-1719.7345:191.0-1730.6436:191.0-1741.5526:191.0-1752.4617:191.0-1763.3707:191.0-1774.2798:191.0-1785.1888:191.0-1861.5522:239.0-1872.4613:239.0-1883.3704:239.0-1894.2794:239.0-1905.1885:239.0-1916.0975:239.0-1927.0066:239.0-1937.9156:239.0-1948.8247:239.0-1959.7338:239.0-1970.6428:239.0-1981.5519:239.0-2101.5522:207.0-2112.4614:207.0-2123.3706:207.0-2134.2798:207.0-2145.189:207.0-2156.0981:207.0-2210.644:239.0-2221.5532:239.0-2232.4624:239.0-2243.3716:239.0-2254.2808:239.0-2265.19:239.0-2276.099:239.0-2287.0083:239.0-2384.0:239.0
27,14.686521:15.0-18.751003:15.0-146.4993:239.0-156.46437:239.0-166.5333:239.0-281.62195:239.0-292.32352:239.0-367.7508:207.0-378.5782:207.0-389.41458:207.0-400.25897:207.0-411.11047:207.0-421.96832:207.0-432.8318:207.0-443.7003:207.0-454.57324:207.0-465.45016:207.0-476.33063:207.0-487.21423:207.0-585.2621:191.0-596.1632:191.0-607.06525:191.0-617.968:191.0-628.8715:191.0-639.77563:191.0-650.6803:191.0-661.58545:191.0-672.491:191.0-683.397:191.0-694.3033:191.0-705.2099:191.0-716.11676:191.0-727.02386:191.0-737.9312:191.0-748.83875:191.0-759.74646:191.0-770.6543:191.0-781.5623:191.0-792.47046:191.0-803.37866:191.0-868.82965:223.0-879.73834:223.0-890.6471:223.0-901.5559:223.0-912.4647:223.0-923.3736:223.0-934.2825:223.0-945.19135:223.0-956.1003:223.0-999.73615:239.0-1010.64514:239.0-1021.55414:239.0-1032.4633:239.0-1043.3723:239.0-1054.2814:239.0-1065.1904:239.0-1076.0995:239.0-1087.0085:239.0-1097.9176:239.0-1108.8267:239.0-1119.7357:239.0-1130.6448:239.0-1141.5538:239.0-1152.4629:239.0-1163.372:239.0-1174.281:239.0-1185.1901:239.0-1261.5535:207.0-1272.4625:207.0-1283.3716:207.0-1294.2806:207.0-1305.1897:207.0-1316.0988:207.0-1327.0078:207.0-1337.9169:207.0-1403.3712:239.0-1414.2803:239.0-1425.1893:239.0-1545.189:191.0-1556.098:191.0-1567.0071:191.0-1577.9161:191.0-1632.4614:223.0-1643.3705:223.0-1654.2795:223.0-1665.1886:223.0-1676.0977:223.0-1687.0067:223.0-1763.3701:191.0-1774.2792:191.0-1785.1882:191.0-1796.0973:191.0-1927.006:207.0-1937.915:207.0-1948.8241:207.0-1959.7332:207.0-1970.6422:207.0-1981.5513:207.0-1992.4603:207.0-2003.3694:207.0-2014.2784:207.0-2025.1875:207.0-2036.0966:207.0-2047.0056:207.0-2057.9148:207.0-2068.824:207.0-2079.7332:207.0-2090.6423:207.0-2101.5515:207.0-2112.4607:207.0-2123.3699:207.0-2134.279:207.0-2145.1882:207.0-2156.0974:207.0-2167.0066:207.0-2177.9158:207.0-2188.825:207.0-2199.7341:207.0-2210.6433:207.0-2221.5525:207.0-2232.4617:207.0-2243.3708:207.0-2254.28:207.0-2265.1892:207.0-2308.826:223.0-2319.735:223.0-2330.6443:223.0-2341.5535:223.0-2352.4626:223.0-2363.3718:223.0-2373.681:223.0-2383.456:223.0-2384.0:223.0
28,14.686521:15.0-18.751003:15.0-134.80966:239.0-143.6606:239.0-152.73793:239.0-241.29164:191.0-251.62956:191.0-262.03033:191.0-272.487:191.0-304.1343:207.0-314.75952:207.0-325.416:207.0-336.10022:207.0-346.8092:207.0-357.5402:207.0-368.29077:207.0-411.44928:223.0-422.26987:223.0-585.3147:223.0-596.2101:223.0-607.10693:223.0-618.0051:223.0-628.90454:223.0-639.805:223.0-650.7064:223.0-661.6087:223.0-672.5117:223.0-683.4154:223.0-803.38385:223.0-814.2916:223.0-825.1995:223.0-836.10754:223.0-934.2838:207.0-945.19257:207.0-1043.3726:191.0-1054.2815:191.0-1065.1906:191.0-1076.0996:191.0-1087.0087:191.0-1097.9177:191.0-1108.8268:191.0-1119.7358:191.0-1130.6449:191.0-1141.554:191.0-1152.463:191.0-1163.3721:191.0-1228.8264:223.0-1239.7355:223.0-1250.6445:223.0-1261.5536:223.0-1294.2808:239.0-1305.1898:239.0-1316.0989:239.0-1327.0079:239.0-1337.917:239.0-1348.826:239.0-1359.7351:239.0-1370.6442:239.0-1381.5532:239.0-1468.8257:191.0-1479.7347:191.0-1490.6438:191.0-1501.5529:191.0-1512.4619:191.0-1523.371:191.0-1534.28:191.0-1545.1891:191.0-1556.0981:191.0-1567.0072:191.0-1632.4615:223.0-1654.2797:239.0-1665.1887:239.0-1676.0978:239.0-1687.0068:239.0-1697.9159:239.0-1708.825:239.0-1719.734:239.0-1730.6431:239.0-1741.5521:239.0-1752.4612:239.0-1763.3702:239.0-1774.2793:239.0-1785.1884:239.0-1796.0974:239.0-1807.0065:239.0-1817.9155:239.0-1828.8246:239.0-1839.7336:239.0-1850.6427:239.0-1861.5518:239.0-1872.4608:239.0-1883.3699:239.0-1894.2789:239.0-1905.188:239.0-1981.5514:207.0-1992.4604:207.0-2003.3695:207.0-2014.2786:207.0-2025.1876:207.0-2036.0967:207.0-2047.0057:207.0-2057.915:207.0-2068.8242:207.0-2079.7334:207.0-2090.6426:207.0-2101.5518:207.0-2112.461:207.0-2123.37:207.0-2134.2793:207.0-2145.1885:207.0-2156.0977:207.0-2167.0068:207.0-2177.916:207.0-2188.8252:207.0-2199.7344:207.0-2210.6436:207.0-2221.5527:207.0-2232.462:207.0-2243.371:207.0-2254.2803:207.0-2265.1895:207.0-2276.0986:207.0-2287.0078:207.0-2297.917:207.0-2308.8262:207.0-2319.7354:207.0-2330.6445:207.0-2341.5537:207.0-2352.463:207.0-2363.372:207.0-2373.6812:207.0-2383.4563:207.0-2384.0:207.0
29,14.686521:15.0-18.751003:15.0-136.0509:223.0-144.7653:223.0-206.78513:191.0-216.11876:191.0-225.62569:191.0-235.28685:191.0-245.0853:191.0-255.0059:191.0-265.03528:191.0-275.1614:191.0-285.37366:191.0-326.9094:207.0-337.42935:207.0-347.99213:207.0-358.593:207.0-369.22775:207.0-379.8927:207.0-390.5845:207.0-401.3002:207.0-412.03717:207.0-422.7931:207.0-433.56586:207.0-444.3536:207.0-455.1547:207.0-465.96768:207.0-476.79123:207.0-487.62418:207.0-498.4655:207.0-509.3143:207.0-661.64905:191.0-672.5476:191.0-683.4473:191.0-694.3481:191.0-705.24976:191.0-847.02124:191.0-857.9289:191.0-868.8367:191.0-879.7446:191.0-890.6527:191.0-901.5609:191.0-912.4692:191.0-945.1945:207.0-956.1031:207.0-967.0117:207.0-977.9204:207.0-988.82916:207.0-1043.3733:239.0-1054.2822:239.0-1065.1912:239.0-1076.1001:239.0-1087.009:239.0-1097.918:239.0-1108.8269:239.0-1119.736:239.0-1130.645:239.0-1141.5541:239.0-1250.6447:207.0-1261.5537:207.0-1272.4628:207.0-1283.3718:207.0-1294.2809:207.0-1305.19:207.0-1316.099:207.0-1327.008:207.0-1337.9171:207.0-1348.8262:207.0-1359.7352:207.0-1490.6439:223.0-1501.553:223.0-1512.462:223.0-1588.8254:191.0-1599.7345:191.0-1610.6436:191.0-1621.5526:191.0-1632.4617:191.0-1676.0979:207.0-1687.007:207.0-1697.916:207.0-1708.8251:207.0-1807.0066:191.0-1817.9156:191.0-1828.8247:191.0-1839.7338:191.0-1850.6428:191.0-1861.5519:191.0-1872.4609:191.0-1883.37:191.0-1927.0062:207.0-1937.9153:207.0-1948.8243:207.0-1959.7334:207.0-1970.6425:207.0-1981.5515:207.0-1992.4606:207.0-2003.3696:207.0-2014.2787:207.0-2156.0977:239.0-2167.0068:239.0-2177.916:239.0-2188.8252:239.0-2199.7344:239.0-2210.6436:239.0-2221.5527:239.0-2232.462:239.0-2243.371:239.0-2254.2803:239.0-2341.5537:191.0-2352.463:191.0-2363.372:191.0-2373.6812:191.0-2383.4563:191.0-2384.0:191.0
30,14.686521:15.0-18.751003:15.0-128.35635:223.0-136.71715:223.0-252.1007:207.0-262.44962:207.0-272.86017:207.0-283.32556:207.0-293.83975:207.0-304.39737:207.0-314.99365:207.0-395.57935:159.0-460.99277:223.0-469.96356:223.0-479.14755:223.0-488.5213:223.0-498.06396:223.0-507.75693:223.0-599.5465:207.0-610.0764:207.0-706.265:191.0-717.05585:191.0-814.6162:175.0-825.4884:175.0-956.1728:191.0-967.0738:191.0-977.97565:191.0-1076.1195:191.0-1087.0264:191.0-1207.0133:191.0-1217.9219:191.0-1228.8304:191.0-1239.7391:191.0-1250.6478:191.0-1392.4634:207.0-1403.3724:207.0-1414.2815:207.0-1425.1906:207.0-1436.0996:207.0-1447.0087:207.0-1457.9177:207.0-1468.8268:207.0-1479.7358:207.0-1490.6449:207.0-1501.554:207.0-1512.463:207.0-1523.3721:207.0-1534.2811:207.0-1545.1902:207.0-1556.0992:207.0-1567.0083:207.0-1665.1898:191.0-1676.0989:191.0-1687.0079:191.0-1697.917:191.0-1708.826:191.0-1719.7351:191.0-1730.6442:191.0-1741.5532:191.0-1752.4623:191.0-1763.3713:191.0-1774.2804:191.0-1817.9166:207.0-1828.8257:207.0-1839.7347:207.0-1850.6438:207.0-1861.5529:207.0-1872.4619:207.0-1883.371:207.0-1932.7144:239.0-1940.5957:239.0-1948.81:239.0-2045.607:239.0-2054.27:239.0-2130.5247:191.0-2140.647:191.0-2150.8557:191.0-2299.0251:207.0-2309.8123:207.0-2320.6128:207.0-2331.4253:207.0-2342.2485:207.0-2353.081:207.0-2363.922:207.0-2374.1707:207.0-2383.8918:207.0-2384.0:207.0
31,14.686521:15.0-18.751003:15.0-126.93359:207.0-136.6509:207.0-146.4993:207.0-156.46437:207.0-166.5333:207.0-176.69463:207.0-186.93822:207.0-281.62195:191.0-292.32352:191.0-303.0479:191.0-313.79263:191.0-324.55542:191.0-335.33432:191.0-346.12753:191.0-356.9335:191.0-454.57324:191.0-465.45016:191.0-476.33063:191.0-487.21423:191.0-498.10065:191.0-508.98956:191.0-574.36194:239.0-585.2621:239.0-596.1632:239.0-607.06525:239.0-617.968:239.0-628.8715:239.0-639.77563:239.0-650.6803:239.0-661.58545:239.0-672.491:239.0-683.397:239.0-694.3033:239.0-705.2099:239.0-716.11676:239.0-727.02386:239.0-737.9312:239.0-748.83875:239.0-868.82965:239.0-879.73834:239.0-890.6471:239.0-901.5559:239.0-912.4647:239.0-923.3736:239.0-934.2825:239.0-945.19135:239.0-956.1003:239.0-967.0092:239.0-1043.3723:207.0-1054.2814:207.0-1065.1904:207.0-1076.0995:207.0-1087.0085:207.0-1097.9176:207.0-1108.8267:207.0-1119.7357:207.0-1130.6448:207.0-1141.5538:207.0-1239.7354:191.0-1250.6444:191.0-1261.5535:191.0-1272.4625:191.0-1283.3716:191.0-1294.2806:191.0-1359.735:239.0-1370.644:239.0-1381.5531:239.0-1479.7346:223.0-1490.6437:223.0-1501.5527:223.0-1512.4618:223.0-1523.3708:223.0-1534.2799:223.0-1545.189:223.0-1556.098:223.0-1654.2795:207.0-1665.1886:207.0-1676.0977:207.0-1687.0067:207.0-1697.9158:207.0-1708.8248:207.0-1719.7339:207.0-1730.643:207.0-1741.552:207.0-1752.461:207.0-1763.3701:207.0-1774.2792:207.0-1785.1882:207.0-1796.0973:207.0-1807.0063:207.0-1817.9154:207.0-1828.8245:207.0-1839.7335:207.0-1850.6426:207.0-1861.5516:207.0-1959.7332:191.0-1970.6422:191.0-1981.5513:191.0-1992.4603:191.0-2003.3694:191.0-2014.2784:191.0-2025.1875:191.0-2036.0966:191.0-2047.0056:191.0-2057.9148:191.0-2068.824:191.0-2079.7332:191.0-2090.6423:191.0-2101.5515:191.0-2112.4607:191.0-2123.3699:191.0-2167.0066:207.0-2177.9158:207.0-2188.825:207.0-2199.7341:207.0-2210.6433:207.0-2308.826:207.0-2319.735:207.0
32,14.686521:15.0-18.751003:15.0-146.4993:239.0-156.46437:239.0-166.5333:239.0-239.10587:207.0-249.6842:207.0-260.29892:207.0-270.946:207.0-281.62195:207.0-292.32352:207.0-303.0479:207.0-313.79263:207.0-324.55542:207.0-335.33432:207.0-346.12753:207.0-356.9335:207.0-367.7508:207.0-378.5782:207.0-465.45016:159.0-476.33063:159.0-487.21423:159.0-498.10065:159.0-508.98956:159.0-519.8807:159.0-530.7738:159.0-596.1632:191.0-607.06525:191.0-617.968:191.0-628.8715:191.0-639.77563:191.0-650.6803:191.0-661.58545:191.0-672.491:191.0-727.02386:223.0-737.9312:223.0-748.83875:223.0-759.74646:223.0-770.6543:223.0-781.5623:223.0-792.47046:223.0-803.37866:223.0-814.287:223.0-857.921:239.0-868.82965:239.0-879.73834:239.0-999.73615:191.0-1010.64514:191.0-1021.55414:191.0-1032.4633:191.0-1043.3723:191.0-1054.2814:191.0-1108.8267:223.0-1119.7357:223.0-1130.6448:223.0-1141.5538:223.0-1152.4629:223.0-1163.372:223.0-1174.281:223.0-1185.1901:223.0-1261.5535:191.0-1272.4625:191.0-1392.4622:191.0-1403.3712:191.0-1457.9165:239.0-1468.8256:239.0-1479.7346:239.0-1490.6437:239.0-1501.5527:239.0-1512.4618:239.0-1523.3708:239.0-1534.2799:239.0-1545.189:239.0-1556.098:239.0-1567.0071:239.0-1577.9161:239.0-1588.8252:239.0-1599.7343:239.0-1610.6433:239.0-1621.5524:239.0-1632.4614:239.0-1643.3705:239.0-1654.2795:239.0-1665.1886:239.0-1676.0977:239.0-1687.0067:239.0-1697.9158:239.0-1708.8248:239.0-1796.0973:191.0-1807.0063:191.0-1817.9154:191.0-1828.8245:191.0-1839.7335:191.0-1850.6426:191.0-1861.5516:191.0-1872.4607:191.0-1883.3698:191.0-1894.2788:191.0-1905.1879:191.0-1916.0969:191.0-1992.4603:239.0-2003.3694:239.0-2014.2784:239.0-2025.1875:239.0-2036.0966:239.0-2134.279:223.0-2145.1882:223.0-2156.0974:223.0-2167.0066:223.0-2177.9158:223.0-2188.825:223.0-2199.7341:223.0-2210.6433:223.0-2282.9395:207.0-2290.696:207.0-2324.8289:239.0-2333.9775:239.0-2343.3198:239.0
33,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-176.69463:223.0-186.93822:223.0-197.255:223.0-207.63695:223.0-218.07687:223.0-249.6842:239.0-260.29892:239.0-270.946:239.0-281.62195:239.0-292.32352:239.0-303.0479:239.0-313.79263:239.0-324.55542:239.0-335.33432:239.0-346.12753:239.0-356.9335:239.0-367.7508:239.0-378.5782:239.0-389.41458:239.0-400.25897:239.0-487.21423:191.0-498.10065:191.0-508.98956:191.0-519.8807:191.0-530.7738:191.0-770.6543:191.0-781.5623:191.0-834.3699:239.0-844.26917:239.0-854.27954:239.0-1077.551:207.0-1088.3004:207.0-1099.0674:207.0-1109.85:207.0-1120.6465:207.0-1131.4553:207.0-1142.2753:207.0-1153.105:207.0-1163.9434:207.0-1196.502:223.0-1207.3667:223.0-1218.2363:223.0-1229.1104:223.0-1239.9882:223.0-1250.8694:223.0-1261.7537:223.0-1272.6407:223.0-1283.5303:223.0-1294.4219:223.0-1305.3154:223.0-1316.2107:223.0-1327.1074:223.0-1338.0056:223.0-1348.9049:223.0-1359.8053:223.0-1370.7067:223.0-1381.6089:223.0-1512.4762:239.0-1523.3838:239.0-1534.2915:239.0-1545.1993:239.0-1556.1074:239.0-1567.0155:239.0-1577.9237:239.0-1588.832:239.0-1599.7405:239.0-1610.6489:239.0-1621.5575:239.0-1741.5544:207.0-1752.4634:207.0-1850.6445:191.0-1861.5536:191.0-1872.4626:191.0-1883.3717:191.0-1894.2808:191.0-1905.1898:191.0-1916.0989:191.0-1927.0079:191.0-1937.917:191.0-1948.826:191.0-1992.4623:207.0-2003.3713:207.0-2014.2804:207.0-2025.1895:207.0-2036.0985:207.0-2047.0076:207.0-2057.9167:207.0-2112.4626:239.0-2123.3718:239.0-2134.281:239.0-2145.1902:239.0-2276.1003:223.0-2287.0095:223.0-2297.9187:223.0-2373.6829:191.0-2383.458:191.0
34,14.686521:15.0-18.751003:15.0-126.93359:191.0-136.6509:191.0-146.4993:191.0-156.46437:191.0-166.5333:191.0-176.69463:191.0-186.93822:191.0-197.255:191.0-207.63695:191.0-218.07687:191.0-281.62195:239.0-292.32352:239.0-303.0479:239.0-313.79263:239.0-411.11047:223.0-421.96832:223.0-432.8318:223.0-443.7003:223.0-454.57324:223.0-465.45016:223.0-476.33063:223.0-487.21423:223.0-563.4629:191.0-574.36194:191.0-585.2621:191.0-596.1632:191.0-607.06525:191.0-617.968:191.0-628.8715:191.0-639.77563:191.0-781.5623:191.0-792.47046:191.0-803.37866:191.0-814.287:191.0-825.1954:191.0-836.1038:191.0-847.0124:191.0-857.921:191.0-868.82965:191.0-879.73834:191.0-890.6471:191.0-901.5559:191.0-912.4647:191.0-923.3736:191.0-934.2825:191.0-945.19135:191.0-956.1003:191.0-967.0092:191.0-977.91815:191.0-988.82715:191.0-999.73615:191.0-1010.64514:191.0-1021.55414:191.0-1032.4633:191.0-1043.3723:191.0-1054.2814:191.0-1065.1904:191.0-1076.0995:191.0-1087.0085:191.0-1097.9176:191.0-1174.281:239.0-1185.1901:239.0-1196.0991:239.0-1207.0082:239.0-1294.2806:191.0-1304.5897:191.0-1314.3647:191.0-1396.0741:143.0-1406.5859:143.0-1481.157:207.0-1491.9097:207.0-1502.6796:207.0-1513.4647:207.0-1524.2635:207.0-1676.2734:223.0-1687.1633:223.0-1698.0553:223.0-1708.9492:223.0-1719.8447:223.0-1730.7418:223.0-1741.6401:223.0-1752.5397:223.0-1763.4403:223.0-1774.3418:223.0-1785.2441:223.0-1796.1472:223.0-1807.051:223.0-1817.9553:223.0-1828.8602:223.0-1905.2048:191.0-1916.1123:191.0-1927.0199:191.0-1937.9276:191.0-1948.8356:191.0-1959.7437:191.0-1970.6519:191.0-1981.56:191.0-1992.4684:191.0-2003.3768:191.0-2014.2853:191.0-2025.1938:191.0-2036.1024:191.0-2047.0111:191.0-2199.7356:207.0-2210.6445:207.0-2221.5535:207.0-2232.4624:207.0-2243.3713:207.0-2254.2803:207.0-2265.1892:207.0-2276.0981:207.0-2287.007:207.0-2319.7346:223.0-2330.6438:223.0-2341.553:223.0-2352.4622:223.0-2363.3713:223.0-2374.2805:223.0-2384.0:223.0
35,14.686521:15.0-18.751003:15.0-136.6509:223.0-146.4993:223.0-156.46437:223.0-166.5333:223.0-176.69463:223.0-186.93822:223.0-197.255:223.0-207.63695:223.0-218.07687:223.0-228.5684:223.0-307.44345:175.0-317.70465:175.0-328.03714:175.0-477.01175:191.0-487.82043:191.0-498.64017:191.0-509.46973:191.0-520.30804:191.0-531.1541:191.0-542.00714:191.0-552.86633:191.0-563.731:191.0-596.3523:207.0-607.2335:207.0-618.1178:207.0-629.0048:207.0-639.8943:207.0-650.7859:207.0-661.67944:207.0-672.5747:207.0-825.2119:223.0-836.1186:223.0-847.0255:223.0-857.9327:223.0-868.8401:223.0-879.7477:223.0-890.6554:223.0-967.013:191.0-977.9216:191.0-988.8302:191.0-999.7389:191.0-1010.6476:191.0-1021.55634:191.0-1119.7365:191.0-1130.6454:191.0-1141.5543:191.0-1152.4634:191.0-1163.3724:191.0-1174.2815:191.0-1185.1906:191.0-1196.0996:191.0-1228.8268:207.0-1239.7358:207.0-1250.6449:207.0-1261.554:207.0-1436.0989:207.0-1447.0079:207.0-1457.917:207.0-1501.5532:239.0-1512.4623:239.0-1523.3713:239.0-1534.2804:239.0-1545.1895:239.0-1556.0985:239.0-1567.0076:239.0-1643.371:207.0-1654.28:207.0-1883.3702:239.0-1894.2793:239.0-1905.1884:239.0-1916.0974:239.0-1992.4608:207.0-2003.3699:207.0-2014.2789:207.0-2025.188:207.0-2036.097:207.0-2047.0061:207.0-2276.0989:239.0-2287.008:239.0-2297.9172:239.0-2308.8264:239.0-2319.7356:239.0-2330.6448:239.0-2341.554:239.0-2352.4631:239.0-2363.3723:239.0-2374.2815:239.0-2384.0:239.0
